Population,year,Zip Code
22052,2011,78610
63901,2011,78613
18572,2011,78617
43655,2011,78641
4256,2011,78652
14631,2011,78653
67630,2011,78660
51942,2011,78664
51409,2011,78681
5084,2011,78701
20643,2011,78702
19579,2011,78703
41616,2011,78704
29247,2011,78705
544,2011,78712
22278,2011,78717
1427,2011,78719
11100,2011,78721
5733,2011,78722
29869,2011,78723
20447,2011,78724
6021,2011,78725
13198,2011,78726
28075,2011,78727
20232,2011,78728
27024,2011,78729
8242,2011,78730
24898,2011,78731
13389,2011,78732
9219,2011,78733
16729,2011,78734
16024,2011,78735
6599,2011,78736
12458,2011,78737
11504,2011,78738
15957,2011,78739
46959,2011,78741
780,2011,78742
41593,2011,78744
55010,2011,78745
26677,2011,78746
13179,2011,78747
37784,2011,78748
33947,2011,78749
26734,2011,78750
14526,2011,78751
16494,2011,78752
51547,2011,78753
13326,2011,78754
7682,2011,78756
22542,2011,78757
43577,2011,78758
40602,2011,78759
24313,2012,78610
65178,2012,78613
19553,2012,78617
47490,2012,78641
4687,2012,78652
15783,2012,78653
70407,2012,78660
54864,2012,78664
53229,2012,78681
5642,2012,78701
21032,2012,78702
19873,2012,78703
41709,2012,78704
30532,2012,78705
554,2012,78712
23514,2012,78717
1717,2012,78719
11178,2012,78721
5973,2012,78722
30999,2012,78723
21677,2012,78724
6477,2012,78725
12482,2012,78726
28461,2012,78727
20939,2012,78728
28228,2012,78729
8312,2012,78730
24716,2012,78731
14307,2012,78732
9486,2012,78733
17824,2012,78734
16882,2012,78735
6841,2012,78736
12882,2012,78737
12457,2012,78738
16911,2012,78739
48246,2012,78741
901,2012,78742
43452,2012,78744
54917,2012,78745
26939,2012,78746
14158,2012,78747
40290,2012,78748
34391,2012,78749
27119,2012,78750
14340,2012,78751
17170,2012,78752
52384,2012,78753
13570,2012,78754
8060,2012,78756
22718,2012,78757
45105,2012,78758
39850,2012,78759
25580,2013,78610
68426,2013,78613
21096,2013,78617
48854,2013,78641
5117,2013,78652
16917,2013,78653
75038,2013,78660
57806,2013,78664
54141,2013,78681
5915,2013,78701
21655,2013,78702
19860,2013,78703
41999,2013,78704
31282,2013,78705
548,2013,78712
24099,2013,78717
1746,2013,78719
11482,2013,78721
6355,2013,78722
31234,2013,78723
21454,2013,78724
8169,2013,78725
13181,2013,78726
28563,2013,78727
20817,2013,78728
26906,2013,78729
8916,2013,78730
25575,2013,78731
15097,2013,78732
9475,2013,78733
18290,2013,78734
17118,2013,78735
6599,2013,78736
13539,2013,78737
13141,2013,78738
17198,2013,78739
48654,2013,78741
810,2013,78742
44375,2013,78744
57559,2013,78745
27506,2013,78746
15919,2013,78747
41710,2013,78748
34392,2013,78749
27012,2013,78750
14045,2013,78751
18381,2013,78752
52674,2013,78753
15109,2013,78754
8125,2013,78756
22655,2013,78757
45623,2013,78758
39895,2013,78759
26991,2014,78610
70764,2014,78613
23025,2014,78617
51247,2014,78641
5408,2014,78652
17968,2014,78653
77046,2014,78660
58959,2014,78664
54517,2014,78681
6188,2014,78701
21855,2014,78702
20061,2014,78703
42770,2014,78704
31735,2014,78705
557,2014,78712
25427,2014,78717
1807,2014,78719
12087,2014,78721
6514,2014,78722
30955,2014,78723
23313,2014,78724
7612,2014,78725
12786,2014,78726
29506,2014,78727
20794,2014,78728
28786,2014,78729
8591,2014,78730
26412,2014,78731
15312,2014,78732
9404,2014,78733
18498,2014,78734
17548,2014,78735
7030,2014,78736
14167,2014,78737
13794,2014,78738
18068,2014,78739
51274,2014,78741
566,2014,78742
45830,2014,78744
58878,2014,78745
27960,2014,78746
16753,2014,78747
44907,2014,78748
35183,2014,78749
27912,2014,78750
13838,2014,78751
19639,2014,78752
53994,2014,78753
16494,2014,78754
8685,2014,78756
23442,2014,78757
45134,2014,78758
40067,2014,78759
29200,2015,78610
73448,2015,78613
25473,2015,78617
52984,2015,78641
5355,2015,78652
19072,2015,78653
79067,2015,78660
59765,2015,78664
54923,2015,78681
7051,2015,78701
21477,2015,78702
20530,2015,78703
44668,2015,78704
32346,2015,78705
828,2015,78712
26072,2015,78717
1485,2015,78719
12508,2015,78721
7006,2015,78722
32155,2015,78723
23612,2015,78724
7343,2015,78725
13027,2015,78726
29354,2015,78727
21081,2015,78728
29386,2015,78729
8871,2015,78730
26595,2015,78731
16269,2015,78732
8930,2015,78733
18948,2015,78734
17438,2015,78735
7621,2015,78736
14544,2015,78737
14795,2015,78738
18442,2015,78739
51770,2015,78741
748,2015,78742
46408,2015,78744
59758,2015,78745
27928,2015,78746
18544,2015,78747
46679,2015,78748
36210,2015,78749
28626,2015,78750
14441,2015,78751
20153,2015,78752
55077,2015,78753
19020,2015,78754
8908,2015,78756
23118,2015,78757
46972,2015,78758
40629,2015,78759
30452,2016,78610
75279,2016,78613
26126,2016,78617
55933,2016,78641
4919,2016,78652
19328,2016,78653
81698,2016,78660
60884,2016,78664
56086,2016,78681
7401,2016,78701
22617,2016,78702
20815,2016,78703
46474,2016,78704
32414,2016,78705
848,2016,78712
27101,2016,78717
1762,2016,78719
12153,2016,78721
7292,2016,78722
32496,2016,78723
24558,2016,78724
7931,2016,78725
13925,2016,78726
29085,2016,78727
21858,2016,78728
30151,2016,78729
9038,2016,78730
27401,2016,78731
16851,2016,78732
8886,2016,78733
18997,2016,78734
16948,2016,78735
7951,2016,78736
14731,2016,78737
14970,2016,78738
19564,2016,78739
51981,2016,78741
714,2016,78742
47211,2016,78744
61317,2016,78745
27971,2016,78746
19876,2016,78747
47966,2016,78748
36478,2016,78749
29991,2016,78750
14648,2016,78751
19902,2016,78752
56131,2016,78753
21764,2016,78754
8798,2016,78756
23611,2016,78757
46506,2016,78758
41415,2016,78759
